,neighborhood,date,departures,arrivals,excess_arrivals,abs_excess,capacity,effective_moves,month,monthname
0,Ahuntsic-Cartierville,2019-04-30,2468,2639,171,725,1930,34,4,April
1,Ahuntsic-Cartierville,2019-05-31,8122,8686,564,2132,3980,217,5,May
2,Ahuntsic-Cartierville,2019-06-30,9752,10612,860,2348,3945,362,6,June
3,Ahuntsic-Cartierville,2019-07-31,11784,12733,949,2283,4055,285,7,July
4,Ahuntsic-Cartierville,2019-08-31,11133,12138,1005,2275,4160,265,8,August
5,Ahuntsic-Cartierville,2019-09-30,9835,10804,969,2197,3870,291,9,September
6,Ahuntsic-Cartierville,2019-10-31,6979,7828,849,1787,3670,144,10,October
7,Anjou,2019-04-30,68,58,-10,32,120,0,4,April
8,Anjou,2019-05-31,224,202,-22,98,290,0,5,May
9,Anjou,2019-06-30,352,392,40,122,310,5,6,June
10,Anjou,2019-07-31,438,494,56,124,320,1,7,July
11,Anjou,2019-08-31,359,355,-4,120,320,4,8,August
12,Anjou,2019-09-30,284,280,-4,84,290,2,9,September
13,Anjou,2019-10-31,146,167,21,63,240,0,10,October
14,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-04-30,8281,6752,-1529,3137,8830,27,4,April
15,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-05-31,27188,22093,-5095,9547,16695,495,5,May
16,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-06-30,30517,24670,-5847,10351,16245,775,6,June
17,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-07-31,35408,29319,-6089,11165,16740,919,7,July
18,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-08-31,35130,28849,-6281,10959,17640,776,8,August
19,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-09-30,32614,26362,-6252,11224,16165,1285,9,September
20,Côte-des-Neiges-Notre-Dame-de-Grâce,2019-10-31,20983,17108,-3875,7917,15680,346,10,October
21,LaSalle,2019-04-30,793,772,-21,153,505,7,4,April
22,LaSalle,2019-05-31,2425,2494,69,491,1045,77,5,May
23,LaSalle,2019-06-30,3094,3188,94,532,1115,62,6,June
24,LaSalle,2019-07-31,3006,3172,166,630,1145,98,7,July
25,LaSalle,2019-08-31,3127,3174,47,587,1180,48,8,August
26,LaSalle,2019-09-30,2187,2218,31,467,1045,51,9,September
27,LaSalle,2019-10-31,1098,1035,-63,277,965,6,10,October
28,Lachine,2019-04-30,297,312,15,71,285,0,4,April
29,Lachine,2019-05-31,1200,1248,48,272,680,30,5,May
30,Lachine,2019-06-30,1704,1763,59,321,735,35,6,June
31,Lachine,2019-07-31,1733,1824,91,389,810,38,7,July
32,Lachine,2019-08-31,1551,1660,109,335,765,35,8,August
33,Lachine,2019-09-30,906,960,54,210,615,9,9,September
34,Lachine,2019-10-31,406,430,24,128,540,2,10,October
35,Le Plateau-Mont-Royal,2019-04-30,87733,77257,-10476,17366,44885,411,4,April
36,Le Plateau-Mont-Royal,2019-05-31,277354,242821,-34533,49803,82835,4515,5,May
37,Le Plateau-Mont-Royal,2019-06-30,324848,281896,-42952,55304,80520,6190,6,June
38,Le Plateau-Mont-Royal,2019-07-31,372657,320899,-51758,62420,83270,7997,7,July
39,Le Plateau-Mont-Royal,2019-08-31,355797,308505,-47292,62022,88720,6916,8,August
40,Le Plateau-Mont-Royal,2019-09-30,308768,271134,-37634,53848,79915,6130,9,September
41,Le Plateau-Mont-Royal,2019-10-31,231079,200734,-30345,42989,78640,2226,10,October
42,Le Sud-Ouest,2019-04-30,14700,17468,2768,3964,12075,137,4,April
43,Le Sud-Ouest,2019-05-31,53419,63381,9962,13310,22720,1343,5,May
44,Le Sud-Ouest,2019-06-30,67086,79589,12503,15369,23535,1929,6,June
45,Le Sud-Ouest,2019-07-31,79462,94481,15019,17365,24250,2211,7,July
46,Le Sud-Ouest,2019-08-31,74352,88027,13675,17029,25555,2028,8,August
47,Le Sud-Ouest,2019-09-30,58036,69397,11361,14045,23550,1269,9,September
48,Le Sud-Ouest,2019-10-31,38751,46332,7581,10453,22840,397,10,October
49,Mercier-Hochelaga-Maisonneuve,2019-04-30,7436,8946,1510,2358,7310,13,4,April
50,Mercier-Hochelaga-Maisonneuve,2019-05-31,25146,30313,5167,7501,14440,333,5,May
51,Mercier-Hochelaga-Maisonneuve,2019-06-30,30493,37092,6599,8859,14290,756,6,June
52,Mercier-Hochelaga-Maisonneuve,2019-07-31,36827,45598,8771,10683,14585,1204,7,July
53,Mercier-Hochelaga-Maisonneuve,2019-08-31,34639,43063,8424,10454,15535,1133,8,August
54,Mercier-Hochelaga-Maisonneuve,2019-09-30,27838,34615,6777,9521,14150,1107,9,September
55,Mercier-Hochelaga-Maisonneuve,2019-10-31,18492,22635,4143,6553,13700,285,10,October
56,Mont-Royal,2019-04-30,571,601,30,84,180,5,4,April
57,Mont-Royal,2019-05-31,874,1043,169,279,390,56,5,May
58,Mont-Royal,2019-06-30,850,985,135,247,475,12,6,June
59,Mont-Royal,2019-07-31,973,1205,232,286,495,35,7,July
60,Mont-Royal,2019-08-31,919,1150,231,315,525,20,8,August
61,Mont-Royal,2019-09-30,759,1016,257,291,475,35,9,September
62,Mont-Royal,2019-10-31,485,622,137,229,455,10,10,October
63,Montréal-Est,2019-06-30,79,68,-11,15,130,0,6,June
64,Montréal-Est,2019-07-31,76,76,0,30,165,0,7,July
65,Montréal-Est,2019-08-31,43,45,2,16,130,0,8,August
66,Montréal-Est,2019-09-30,34,34,0,12,85,0,9,September
67,Montréal-Est,2019-10-31,11,11,0,4,45,0,10,October
68,Montréal-Nord,2019-04-30,76,63,-13,23,140,0,4,April
69,Montréal-Nord,2019-05-31,194,192,-2,70,285,0,5,May
70,Montréal-Nord,2019-06-30,272,286,14,104,295,0,6,June
71,Montréal-Nord,2019-07-31,298,373,75,121,325,2,7,July
72,Montréal-Nord,2019-08-31,270,299,29,85,325,3,8,August
73,Montréal-Nord,2019-09-30,214,238,24,80,295,0,9,September
74,Montréal-Nord,2019-10-31,154,147,-7,69,275,1,10,October
75,Outremont,2019-04-30,3940,3339,-601,1067,2850,26,4,April
76,Outremont,2019-05-31,12840,10724,-2116,3020,5550,150,5,May
77,Outremont,2019-06-30,14524,12037,-2487,3199,5600,237,6,June
78,Outremont,2019-07-31,15734,12905,-2829,3581,5770,320,7,July
79,Outremont,2019-08-31,15396,12992,-2404,3244,6100,177,8,August
80,Outremont,2019-09-30,15026,12434,-2592,3402,5600,332,9,September
81,Outremont,2019-10-31,10510,8477,-2033,2701,5415,133,10,October
82,Rivière-des-Prairies-Pointe-aux-Trembles,2019-06-30,200,197,-3,75,350,0,6,June
83,Rivière-des-Prairies-Pointe-aux-Trembles,2019-07-31,236,245,9,81,460,2,7,July
84,Rivière-des-Prairies-Pointe-aux-Trembles,2019-08-31,183,175,-8,82,405,0,8,August
85,Rivière-des-Prairies-Pointe-aux-Trembles,2019-09-30,127,108,-19,69,330,0,9,September
86,Rivière-des-Prairies-Pointe-aux-Trembles,2019-10-31,71,57,-14,40,245,0,10,October
87,Rosemont-La Petite-Patrie,2019-04-30,28251,25566,-2685,5965,17240,124,4,April
88,Rosemont-La Petite-Patrie,2019-05-31,95468,86203,-9265,17697,32360,1226,5,May
89,Rosemont-La Petite-Patrie,2019-06-30,111487,100980,-10507,19545,31390,2088,6,June
90,Rosemont-La Petite-Patrie,2019-07-31,130815,118651,-12164,20780,31725,2480,7,July
91,Rosemont-La Petite-Patrie,2019-08-31,127535,115297,-12238,21418,34570,2319,8,August
92,Rosemont-La Petite-Patrie,2019-09-30,106856,96798,-10058,18636,31960,1799,9,September
93,Rosemont-La Petite-Patrie,2019-10-31,76398,68780,-7618,14884,31035,691,10,October
94,Saint-Laurent,2019-04-30,470,448,-22,174,620,2,4,April
95,Saint-Laurent,2019-05-31,1677,1750,73,563,1405,26,5,May
96,Saint-Laurent,2019-06-30,2005,2032,27,591,1390,32,6,June
97,Saint-Laurent,2019-07-31,1960,1997,37,653,1430,46,7,July
98,Saint-Laurent,2019-08-31,2120,2173,53,649,1465,39,8,August
99,Saint-Laurent,2019-09-30,1844,1918,74,510,1345,22,9,September
100,Saint-Laurent,2019-10-31,1247,1285,38,408,1230,15,10,October
101,Saint-Léonard,2019-04-30,54,82,28,44,110,0,4,April
102,Saint-Léonard,2019-05-31,261,291,30,106,310,0,5,May
103,Saint-Léonard,2019-06-30,337,377,40,112,310,2,6,June
104,Saint-Léonard,2019-07-31,458,491,33,133,320,8,7,July
105,Saint-Léonard,2019-08-31,351,394,43,125,325,5,8,August
106,Saint-Léonard,2019-09-30,328,400,72,138,300,3,9,September
107,Saint-Léonard,2019-10-31,173,192,19,67,265,0,10,October
108,Verdun,2019-04-30,4505,5132,627,1165,3445,32,4,April
109,Verdun,2019-05-31,15957,17683,1726,3388,6585,240,5,May
110,Verdun,2019-06-30,19362,21991,2629,3889,6125,595,6,June
111,Verdun,2019-07-31,24328,27892,3564,4362,6415,641,7,July
112,Verdun,2019-08-31,20891,23814,2923,4403,6895,586,8,August
113,Verdun,2019-09-30,16105,18275,2170,3466,6360,368,9,September
114,Verdun,2019-10-31,11032,12196,1164,2592,6165,107,10,October
115,Ville-Marie,2019-04-30,65225,74926,9701,19401,57125,399,4,April
116,Ville-Marie,2019-05-31,224998,257844,32846,63844,106270,6229,5,May
117,Ville-Marie,2019-06-30,264264,303536,39272,71252,103105,9650,6,June
118,Ville-Marie,2019-07-31,326928,371595,44667,83285,108235,12394,7,July
119,Ville-Marie,2019-08-31,304735,347504,42769,80609,114495,10066,8,August
120,Ville-Marie,2019-09-30,242741,278528,35787,67141,104865,6416,9,September
121,Ville-Marie,2019-10-31,166678,197250,30572,54402,101455,2814,10,October
122,Villeray-Saint-Michel-Parc-Extension,2019-04-30,9847,9377,-470,2316,6240,80,4,April
123,Villeray-Saint-Michel-Parc-Extension,2019-05-31,33077,31592,-1485,6143,12415,475,5,May
124,Villeray-Saint-Michel-Parc-Extension,2019-06-30,40785,38864,-1921,6611,11920,616,6,June
125,Villeray-Saint-Michel-Parc-Extension,2019-07-31,47089,45054,-2035,6903,12230,588,7,July
