station_code,date,departures,arrivals,excess_arrivals
4000,2019-04-14,20,22,2
4002,2019-04-14,17,19,2
5002,2019-04-14,1,0,-1
5004,2019-04-14,1,1,0
5006,2019-04-14,3,5,2
5007,2019-04-14,6,7,1
6001,2019-04-14,13,16,3
6002,2019-04-14,17,21,4
6003,2019-04-14,8,21,13
6006,2019-04-14,6,5,-1
6007,2019-04-14,6,8,2
6008,2019-04-14,15,16,1
6009,2019-04-14,10,19,9
6011,2019-04-14,10,12,2
6012,2019-04-14,36,43,7
6013,2019-04-14,17,36,19
6014,2019-04-14,4,7,3
6015,2019-04-14,58,118,60
6016,2019-04-14,13,10,-3
6017,2019-04-14,15,18,3
6018,2019-04-14,15,17,2
6019,2019-04-14,20,24,4
6020,2019-04-14,16,27,11
6021,2019-04-14,20,9,-11
6022,2019-04-14,16,19,3
6023,2019-04-14,44,60,16
6025,2019-04-14,10,11,1
6026,2019-04-14,40,67,27
6027,2019-04-14,24,35,11
6029,2019-04-14,1,3,2
6031,2019-04-14,4,8,4
6032,2019-04-14,12,28,16
6033,2019-04-14,6,2,-4
6035,2019-04-14,1,2,1
6036,2019-04-14,56,79,23
6037,2019-04-14,12,13,1
6038,2019-04-14,14,22,8
6039,2019-04-14,13,15,2
6040,2019-04-14,4,4,0
6041,2019-04-14,5,11,6
6042,2019-04-14,6,11,5
6043,2019-04-14,5,22,17
6044,2019-04-14,22,11,-11
6046,2019-04-14,5,1,-4
6047,2019-04-14,13,5,-8
6048,2019-04-14,5,9,4
6049,2019-04-14,11,3,-8
6051,2019-04-14,14,13,-1
6052,2019-04-14,59,67,8
6053,2019-04-14,28,54,26
6057,2019-04-14,4,9,5
6058,2019-04-14,14,21,7
6059,2019-04-14,17,15,-2
6060,2019-04-14,1,0,-1
6062,2019-04-14,17,11,-6
6063,2019-04-14,11,21,10
6064,2019-04-14,18,24,6
6065,2019-04-14,15,10,-5
6066,2019-04-14,7,13,6
6067,2019-04-14,11,17,6
6070,2019-04-14,43,69,26
6072,2019-04-14,10,11,1
6073,2019-04-14,41,65,24
6075,2019-04-14,6,11,5
6076,2019-04-14,5,3,-2
6079,2019-04-14,13,9,-4
6080,2019-04-14,43,26,-17
6081,2019-04-14,11,10,-1
6083,2019-04-14,22,27,5
6084,2019-04-14,7,10,3
6085,2019-04-14,35,31,-4
6087,2019-04-14,30,33,3
6088,2019-04-14,11,23,12
6089,2019-04-14,7,5,-2
6090,2019-04-14,5,5,0
6091,2019-04-14,16,12,-4
6092,2019-04-14,13,16,3
6093,2019-04-14,10,7,-3
6094,2019-04-14,18,12,-6
6095,2019-04-14,24,28,4
6096,2019-04-14,15,7,-8
6097,2019-04-14,28,12,-16
6098,2019-04-14,8,5,-3
6099,2019-04-14,15,27,12
6100,2019-04-14,76,85,9
6101,2019-04-14,29,2,-27
6102,2019-04-14,9,9,0
6103,2019-04-14,3,4,1
6104,2019-04-14,20,23,3
6105,2019-04-14,7,6,-1
6106,2019-04-14,5,3,-2
6107,2019-04-14,29,28,-1
6108,2019-04-14,10,15,5
6110,2019-04-14,7,5,-2
6111,2019-04-14,17,11,-6
6112,2019-04-14,34,23,-11
6113,2019-04-14,17,14,-3
6114,2019-04-14,48,58,10
6115,2019-04-14,14,10,-4
6116,2019-04-14,10,17,7
6118,2019-04-14,27,29,2
6119,2019-04-14,28,25,-3
6120,2019-04-14,17,26,9
6121,2019-04-14,6,9,3
6122,2019-04-14,5,2,-3
6123,2019-04-14,9,7,-2
6124,2019-04-14,13,15,2
6125,2019-04-14,5,6,1
6126,2019-04-14,8,9,1
6127,2019-04-14,34,24,-10
6128,2019-04-14,6,3,-3
6129,2019-04-14,24,13,-11
6130,2019-04-14,12,5,-7
6131,2019-04-14,33,24,-9
6132,2019-04-14,12,14,2
6133,2019-04-14,19,14,-5
6134,2019-04-14,10,9,-1
6137,2019-04-14,34,30,-4
6138,2019-04-14,14,18,4
6139,2019-04-14,9,6,-3
6140,2019-04-14,27,37,10
6141,2019-04-14,19,13,-6
6142,2019-04-14,22,18,-4
6143,2019-04-14,40,43,3
6145,2019-04-14,24,24,0
6146,2019-04-14,17,9,-8
6147,2019-04-14,19,14,-5
6148,2019-04-14,19,27,8
6149,2019-04-14,12,5,-7
6150,2019-04-14,32,35,3
6151,2019-04-14,33,31,-2
6152,2019-04-14,47,39,-8
6153,2019-04-14,10,16,6
6154,2019-04-14,60,60,0
6155,2019-04-14,66,61,-5
6156,2019-04-14,27,27,0
6158,2019-04-14,37,32,-5
6160,2019-04-14,28,20,-8
6161,2019-04-14,11,8,-3
6163,2019-04-14,40,50,10
6164,2019-04-14,46,50,4
6165,2019-04-14,33,32,-1
6166,2019-04-14,41,23,-18
6167,2019-04-14,22,18,-4
6168,2019-04-14,15,9,-6
6169,2019-04-14,57,63,6
6170,2019-04-14,23,7,-16
6171,2019-04-14,9,4,-5
6173,2019-04-14,30,24,-6
6174,2019-04-14,41,40,-1
6175,2019-04-14,39,17,-22
6176,2019-04-14,34,26,-8
6177,2019-04-14,28,27,-1
6178,2019-04-14,59,53,-6
6180,2019-04-14,10,14,4
6181,2019-04-14,13,10,-3
6182,2019-04-14,27,19,-8
6183,2019-04-14,20,22,2
