code,name,neighborhood,longitude,latitude,Capacity,Current_Bikes,recommended_adds,recommended_removals
4000,Jeanne-d'Arc / Ontario,Mercier-Hochelaga-Maisonneuve,-73.54187428951263,45.54959767887176,20,6,0,0
4001,Graham / Brookfield,Mont-Royal,-73.6297756433487,45.52007477080967,5,5,0,0
4002,Graham / Wicksteed,Mont-Royal,-73.64048302173615,45.51693654712809,10,6,0,6
6001,Métro Champ-de-Mars (Viger / Sanguinet),Ville-Marie,-73.55650842189789,45.51035067563653,35,7,0,7
6002,Ste-Catherine / Dezery,Mercier-Hochelaga-Maisonneuve,-73.54099988937377,45.53938508196168,20,17,0,9
6003,Clark / Evans,Ville-Marie,-73.56760203838348,45.51100666600306,20,18,0,6
6004,du Champ-de-Mars / Gosford,Ville-Marie,-73.55400860309601,45.50965520472071,15,2,0,2
6005,Metcalfe / du Square-Dorchester,Ville-Marie,-73.57113786041737,45.500208064155046,20,10,0,0
6006,18e avenue / Rosemont,Rosemont-La Petite-Patrie,-73.5765291005373,45.55789545752947,15,2,13,0
6007,de l'Hôtel-de-Ville / Ste-Catherine,Ville-Marie,-73.56213569641113,45.51166045593874,10,7,0,0
6008,Sanguinet / Ste-Catherine,Ville-Marie,-73.56146247242577,45.51279685582333,35,3,0,1
6009,Crescent / de Maisonneuve,Ville-Marie,-73.57761539518833,45.49811161443597,10,5,0,0
6011,St-André / St-Antoine,Ville-Marie,-73.55264469981194,45.51411452790017,15,3,0,3
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),Ville-Marie,-73.56497,45.51066,100,7,0,7
6013,Sanguinet / de Maisonneuve,Ville-Marie,-73.56259435415267,45.51340553558378,35,33,0,23
6014,St-Denis / René-Lévesque,Ville-Marie,-73.55846643447876,45.51287121578035,20,13,0,6
6015,BAnQ (Berri / de Maisonneuve),Ville-Marie,-73.561273,45.515299,100,78,0,59
6016,Jacques-Le Ber / de la Pointe Nord,Verdun,-73.539285,45.472503,5,3,0,0
6017,Atateken / du Square Amherst,Ville-Marie,-73.56390595436096,45.52063377251984,20,13,0,3
6018,St-André / Ontario,Ville-Marie,-73.56353,45.51889,20,1,0,1
6019,Métro Sherbrooke (de Rigaud / Berri),Le Plateau-Mont-Royal,-73.56818407773972,45.51799893773692,60,13,47,0
6020,Sanguinet / Ontario,Ville-Marie,-73.56549113988876,45.51476724402057,40,7,0,7
6021,de l'Hôtel-de-Ville / Sherbrooke,Ville-Marie,-73.56840670108795,45.5145646696576,30,21,0,0
6022,William-Tremblay / Molson,Rosemont-La Petite-Patrie,-73.56517732143402,45.541719808901306,10,10,0,9
6023,de la Commune / Berri,Ville-Marie,-73.54983,45.51086,60,55,0,29
6024,Bellerive / Duchesneau,Mercier-Hochelaga-Maisonneuve,-73.50982189178467,45.60761595633475,5,2,0,0
6025,Notre-Dame / St-Gabriel,Ville-Marie,-73.55511903762817,45.50714391928411,5,1,0,0
6026,de la Commune / Place Jacques-Cartier,Ville-Marie,-73.55183601379395,45.50761009451047,85,30,0,0
6027,de Maisonneuve / Mansfield (sud),Ville-Marie,-73.57346534729004,45.502053864057466,25,25,0,25
6029,Bourget / St-Jacques,Le Sud-Ouest,-73.58386158943176,45.48084576334506,15,11,0,0
6031,de Maisonneuve / Robert-Bourassa,Ville-Marie,-73.57152342796326,45.50426292830073,20,4,0,4
6032,Métro Place-d'Armes (Viger / St-Urbain),Ville-Marie,-73.55976,45.50623,85,58,0,58
6033,16e avenue / Beaubien,Rosemont-La Petite-Patrie,-73.58315885066986,45.55828063767652,5,2,0,0
6035,Viger / Chenneville,Ville-Marie,-73.56089115142822,45.50531166520915,40,39,0,39
6036,de la Commune / St-Sulpice,Ville-Marie,-73.553469479084,45.50424245563397,80,29,0,29
6037,St-Nicolas / Place d'Youville,Ville-Marie,-73.55515256524086,45.501966859101564,10,6,0,0
6038,McGill / Place d'Youville,Ville-Marie,-73.55566,45.49975,15,8,0,7
6039,McGill / des Récollets,Ville-Marie,-73.558826,45.500779,20,4,0,4
6040,St-Jacques / St-Pierre,Ville-Marie,-73.55913430452347,45.50278649802565,20,18,0,16
6041,St-Jacques / McGill,Ville-Marie,-73.56014415621758,45.50144108135568,10,1,0,1
6042,de la Gauchetière / Robert-Bourassa,Ville-Marie,-73.56544822454453,45.50060578095098,10,4,0,0
6043,Square Victoria (Viger / du Square-Victoria),Ville-Marie,-73.56295,45.50206,195,134,0,127
6044,Roy / St-André,Le Plateau-Mont-Royal,-73.57036739587784,45.521564270906616,15,5,10,0
6046,Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,-73.56725603342056,45.49831217703312,15,7,0,0
6047,University / Prince-Arthur,Le Plateau-Mont-Royal,-73.57844352722168,45.507401678946415,25,3,12,0
6048,William / St-Henri,Ville-Marie,-73.55725407600403,45.49891911390352,10,2,0,0
6049,Queen / Wellington,Ville-Marie,-73.55534970760345,45.49760527699099,20,5,0,5
6050,St-Maurice / Robert-Bourassa,Ville-Marie,-73.56024205684662,45.49857779102015,15,3,0,0
6051,de Gaspé / Marmier,Rosemont-La Petite-Patrie,-73.601728,45.529686,10,5,0,0
6052,de la Commune / King,Ville-Marie,-73.55257093906403,45.49751503379366,100,18,0,0
6053,du Président-Kennedy / Jeanne-Mance,Ville-Marie,-73.56881439685822,45.50820461505136,30,20,0,10
