,neighborhood,code,name,longitude,latitude,rental_methods,capacity
0,Outremont,6232,Durocher / Van Horne,-73.61127376556396,45.524265806034656,"['KEY', 'CREDITCARD']",19.0
1,Outremont,6241,Querbes / Laurier,-73.59783187508583,45.51753998795678,"['KEY', 'CREDITCARD']",15.0
2,Outremont,6243,Bloomfield / Bernard,-73.6084279,45.52068774,"['KEY', 'CREDITCARD']",23.0
3,Outremont,6245,Bloomfield / Van Horne,-73.61265779,45.5225858,"['KEY', 'CREDITCARD']",23.0
4,Outremont,6246,Métro Outremont (Wiseman / Van Horne),-73.61484915018082,45.52027053865367,"['KEY', 'CREDITCARD']",23.0
5,Outremont,6301,Parc Outremont (Bloomfield / Elmwood),-73.60328614711761,45.518309446368,"['KEY', 'CREDITCARD']",15.0
6,Outremont,6302,Stuart / St-Viateur,-73.60779762268066,45.516078703024085,"['KEY', 'CREDITCARD']",15.0
7,Outremont,6303,Pratt / Van Horne,-73.6203020811081,45.51414486304299,"['KEY', 'CREDITCARD']",15.0
8,Outremont,6304,Rockland / Lajoie,-73.614991,45.515617,"['KEY', 'CREDITCARD']",15.0
9,Outremont,6305,Davaar / de la Côte-Ste-Catherine,-73.610871,45.514379,"['KEY', 'CREDITCARD']",15.0
10,Outremont,6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),-73.611429,45.510086,"['KEY', 'CREDITCARD']",27.0
11,Outremont,7021,Dollard / Van Horne,-73.61646920442581,45.51915286772737,"['KEY', 'CREDITCARD']",19.0
12,Outremont,7022,Durocher / Bernard,-73.60668718814848,45.52222528598142,"['KEY', 'CREDITCARD']",15.0
13,Outremont,7124,Dollard / Bernard,-73.61142262816429,45.51678269880724,"['KEY', 'CREDITCARD']",23.0
14,LaSalle,6714,LaSalle / 90e avenue,-73.64422470331192,45.417147421132526,"['KEY', 'CREDITCARD']",23.0
15,LaSalle,7015,Parc des Rapides (LaSalle / 6e avenue),-73.59309915918857,45.42947143740888,"['KEY', 'CREDITCARD']",23.0
16,LaSalle,7108,Gagne / LaSalle,-73.601194024086,45.422451407155854,"['KEY', 'CREDITCARD']",23.0
17,LaSalle,7109,Cégep André-Laurendeau,-73.60565185546875,45.43566446235294,"['KEY', 'CREDITCARD']",19.0
18,LaSalle,7110,LaSalle / 67e avenue,-73.62651407718658,45.415348837097696,"['KEY', 'CREDITCARD']",23.0
19,LaSalle,7111,Highlands / LaSalle,-73.65741580724716,45.42612352042827,"['KEY', 'CREDITCARD']",27.0
20,LaSalle,7112,Newman / Senkus,-73.61375212669373,45.44404309237571,"['KEY', 'CREDITCARD']",19.0
21,Mont-Royal,4001,Graham / Brookfield,-73.6297756433487,45.52007477080967,"['KEY', 'CREDITCARD']",23.0
